,idwell,wellname,reservoir_type,horizontal_length,amount_fractures,national_sand,imported_sand,injected_water,injected_co2,max_pressure,equipment_power_hp,dates
0,159910,APS.Nq.ADC.xp-1033,NO CONVENCIONAL,0.0,3,0.0,0.0,2718.2,0.0,10190.0,10897.0,2019-06-14 17:13:03.68279
1,159910,APS.Nq.ADC.xp-1033,NO CONVENCIONAL,0.0,1,0.0,0.0,600.0,0.0,9250.0,10251.0,2019-06-14 17:14:19.179874
2,159219,YPF.Nq.AdlA-1001(h),NO CONVENCIONAL,1437.3,18,3761.37,536.85,25768.3,0.0,15000.0,32000.0,2019-06-27 13:46:21.14935
3,159220,YPF.Nq.AdlA-1002(h),NO CONVENCIONAL,1518.3,19,3903.705,558.225,27398.37,0.0,11348.0,32000.0,2019-06-27 13:46:21.14935
4,159221,YPF.Nq.AdlA-1003(h),NO CONVENCIONAL,1482.3,19,3949.02,569.925,27157.6,0.0,11076.0,32000.0,2019-06-27 13:46:21.14935
5,160426,YPF.Nq.AdlA-1004(h),NO CONVENCIONAL,1424.0,18,3747.015,550.71,26054.0,0.0,11900.0,32000.0,2019-06-27 13:46:21.14935
6,160518,YPF.Nq.AdlA-1005(h),NO CONVENCIONAL,1504.0,19,3883.05,572.895,27624.0,0.0,11750.0,32000.0,2019-06-27 13:46:21.14935
7,160519,YPF.Nq.AdlA-1006(h),NO CONVENCIONAL,1504.0,19,3959.685,572.805,28123.0,0.0,11400.0,32000.0,2019-06-27 13:46:21.14935
8,160427,YPF.Nq.AdlA-1007(h),NO CONVENCIONAL,1984.3,25,5077.35,753.254999999999,35715.0,0.0,11250.0,34000.0,2019-06-27 13:46:21.14935
9,160330,YPF.Nq.AdlA-1008(h),NO CONVENCIONAL,1984.3,25,5111.28,742.005,36085.0,0.0,11350.0,34000.0,2019-06-27 13:46:21.14935
10,160331,YPF.Nq.AdlA-1009(h),NO CONVENCIONAL,1984.3,25,5098.23,764.235000000001,36014.0,0.0,11480.0,34000.0,2019-06-27 13:46:21.14935
11,154744,YPF.Nq.EOr-10(h),NO CONVENCIONAL,1146.4,15,985.23,2442.96,15526.6,0.0,10936.0,28000.0,2019-06-27 13:46:21.14935
12,158750,YPF.Nq.EOr-102(h),NO CONVENCIONAL,2465.5,27,4787.055,808.65,38961.1,0.0,11200.0,34000.0,2019-06-27 13:46:21.14935
13,158751,YPF.Nq.EOr-103(h),NO CONVENCIONAL,1973.5,25,4423.545,757.62,34249.5,0.0,11530.0,34000.0,2019-06-27 13:46:21.14935
14,158890,YPF.Nq.EOr-104(h),NO CONVENCIONAL,2606.5,35,7266.375,293.76,68126.9,0.0,11400.0,34000.0,2019-06-27 13:46:21.14935
15,158891,YPF.Nq.EOr-105(h),NO CONVENCIONAL,2631.5,34,7070.22,261.45,62480.3,0.0,11454.0,34000.0,2019-06-27 13:46:21.14935
16,158752,YPF.Nq.EOr-106(h),NO CONVENCIONAL,2412.5,31,5514.3,906.075,43557.5,0.0,11500.0,34000.0,2019-06-27 13:46:21.14935
17,154185,YPF.Nq.EOr-11,NO CONVENCIONAL,0.0,5,248.49,869.13,5578.4,0.0,8915.0,28000.0,2019-06-27 13:46:21.14935
18,154186,YPF.Nq.EOr-12(d),NO CONVENCIONAL,0.0,5,128.385,1047.96,6023.1,0.0,10298.0,28000.0,2019-06-27 13:46:21.14935
19,159834,YPF.Nq.EOr-157(h),NO CONVENCIONAL,1424.5,18,3131.19,528.93,26244.0,0.0,11000.0,34000.0,2019-06-27 13:46:21.14935
20,159835,YPF.Nq.EOr-158(h),NO CONVENCIONAL,1424.3,18,3138.345,538.065,27100.0,0.0,11463.0,34000.0,2019-06-27 13:46:21.14935
21,159836,YPF.Nq.EOr-160(h),NO CONVENCIONAL,1424.5,18,3121.515,523.485,26612.0,0.0,11497.0,34000.0,2019-06-27 13:46:21.14935
22,159705,YPF.Nq.EOr-161(h),NO CONVENCIONAL,1912.3,24,4324.5,709.47,35165.4,0.0,11151.0,32000.0,2019-06-27 13:46:21.14935
23,159706,YPF.Nq.EOr-162(h),NO CONVENCIONAL,1592.3,20,3560.355,597.465,29603.6,0.0,11047.0,32000.0,2019-06-27 13:46:21.14935
24,159707,YPF.Nq.EOr-163(h),NO CONVENCIONAL,1832.3,23,4081.14,682.2,33385.0,0.0,11490.0,32000.0,2019-06-27 13:46:21.14935
25,159708,YPF.Nq.EOr-164(h),NO CONVENCIONAL,2082.3,26,4660.875,765.81,38542.6,0.0,11600.0,32000.0,2019-06-27 13:46:21.14935
26,153318,YPF.Nq.EOr-19,NO CONVENCIONAL,0.0,5,476.55,601.56,5861.0,0.0,9030.0,26000.0,2019-06-27 13:46:21.14935
27,153319,YPF.Nq.EOr-20(d),NO CONVENCIONAL,0.0,5,534.33,610.38,5957.65341812401,0.0,9500.0,26000.0,2019-06-27 13:46:21.14935
28,154187,YPF.Nq.EOr-21(h),NO CONVENCIONAL,1093.8,14,2040.525,1426.545,17285.57889,0.0,10485.0,28000.0,2019-06-27 13:46:21.14935
